"item","group1","group2","vars","n","mean","sd"
"tBodyAcc-mean()-Z6","38","SITTING","2",5,24,-0.112295493583333,0.015544766951158
"tBodyAcc-mean()-Z7","39","STANDING","2",5,31,-0.104193648741935,0.026388522994006
"tBodyAcc-mean()-Z8","40","WALKING","2",5,21,-0.103704857952381,0.027606306432043
"tGravityAcc-mean()-X1","41","LAYING","1",6,27,-0.338324896407407,0.2515965231819
"tGravityAcc-mean()-X2","42","SITTING","1",6,24,0.808823846666667,0.104000646301828
"tGravityAcc-mean()-X3","43","STANDING","1",6,27,0.96053634037037,0.00801862757166
"tGravityAcc-mean()-X4","44","WALKING","1",6,22,0.947186555,0.005323960373859
"tGravityAcc-mean()-X5","45","LAYING","2",6,24,-0.629125296666667,0.08248112754758
"tGravityAcc-mean()-X6","46","SITTING","2",6,24,0.964257787083333,0.008048300142547
"tGravityAcc-mean()-X7","47","STANDING","2",6,31,0.906130830967742,0.021090577889564
"tGravityAcc-mean()-X8","48","WALKING","2",6,21,0.921652746190476,0.005653937069108
"tGravityAcc-mean()-Y1","49","LAYING","1",7,27,0.57461005937037,0.327401433908757
"tGravityAcc-mean()-Y2","50","SITTING","1",7,24,0.204414433291667,0.118835138479946
"tGravityAcc-mean()-Y3","51","STANDING","1",7,27,-0.20475228962963,0.060094073229286
"tGravityAcc-mean()-Y4","52","WALKING","1",7,22,-0.254552456363636,0.008721875777851
"tGravityAcc-mean()-Y5","53","LAYING","2",7,24,0.743494700833333,0.030477419242796
"tGravityAcc-mean()-Y6","54","SITTING","2",7,24,-0.13217167625,0.015346196348266
"tGravityAcc-mean()-Y7","55","STANDING","2",7,31,-0.364174343225806,0.059836039441824
"tGravityAcc-mean()-Y8","56","WALKING","2",7,21,-0.346976308571429,0.005089168954773
"tGravityAcc-mean()-Z1","57","LAYING","1",8,27,0.693036982962963,0.17066181946116
"tGravityAcc-mean()-Z2","58","SITTING","1",8,24,0.369660885833333,0.061014566450345
"tGravityAcc-mean()-Z3","59","STANDING","1",8,27,0.042338312718519,0.053519244993417
"tGravityAcc-mean()-Z4","60","WALKING","1",8,22,-0.027613638909091,0.006236301547173
"tGravityAcc-mean()-Z5","61","LAYING","2",8,24,0.65975473125,0.027515268943158
"tGravityAcc-mean()-Z6","62","SITTING","2",8,24,0.110979438875,0.064620830731495
"tGravityAcc-mean()-Z7","63","STANDING","2",8,31,0.09507769116129,0.04078496680898
"tGravityAcc-mean()-Z8","64","WALKING","2",8,21,0.024754874380952,0.004859991261306
"tBodyAccJerk-mean()-X1","65","LAYING","1",9,27,0.082612097814815,0.071016113408771
"tBodyAccJerk-mean()-X2","66","SITTING","1",9,24,0.078630528916667,0.032304270128411
"tBodyAccJerk-mean()-X3","67","STANDING","1",9,27,0.075336472444444,0.002825246103907
"tBodyAccJerk-mean()-X4","68","WALKING","1",9,22,0.037020556545455,0.268762109815871
"tBodyAccJerk-mean()-X5","69","LAYING","2",9,24,0.081680681791667,0.027330675686482
"tBodyAccJerk-mean()-X6","70","SITTING","2",9,24,0.075297602666667,0.005218434165185
"tBodyAccJerk-mean()-X7","71","STANDING","2",9,31,0.074050754741935,0.00979853137724
"tBodyAccJerk-mean()-X8","72","WALKING","2",9,21,0.059186739047619,0.171011037946472
"tBodyAccJerk-mean()-Y1","73","LAYING","1",10,27,0.008392691805185,0.126591847880212
"tBodyAccJerk-mean()-Y2","74","SITTING","1",10,24,-0.003406167166667,0.087779531377155
"tBodyAccJerk-mean()-Y3","75","STANDING","1",10,27,0.007994170403704,0.017989203390658
"tBodyAccJerk-mean()-Y4","76","WALKING","1",10,22,0.0319521775,0.270071387395058
"tBodyAccJerk-mean()-Y5","77","LAYING","2",10,24,0.0131155143,0.009445731295919
"tBodyAccJerk-mean()-Y6","78","SITTING","2",10,24,0.0097989469125,0.030943905744794
"tBodyAccJerk-mean()-Y7","79","STANDING","2",10,31,0.011165297083871,0.024754096647505
"tBodyAccJerk-mean()-Y8","80","WALKING","2",10,21,0.010058505714286,0.245292910824378
"tBodyAccJerk-mean()-Z1","81","LAYING","1",11,27,-0.007933315162222,0.103204369544569
"tBodyAccJerk-mean()-Z2","82","SITTING","1",11,24,-0.013146158947083,0.100036338031723
"tBodyAccJerk-mean()-Z3","83","STANDING","1",11,27,-0.002763115013259,0.01849597263914
"tBodyAccJerk-mean()-Z4","84","WALKING","1",11,22,-0.010591284840909,0.295426931288761
"tBodyAccJerk-mean()-Z5","85","LAYING","2",11,24,-0.005552596965,0.020551490728912
"tBodyAccJerk-mean()-Z6","86","SITTING","2",11,24,0.005244581543333,0.025139053485969
"tBodyAccJerk-mean()-Z7","87","STANDING","2",11,31,-0.004618511284839,0.032747209540346
"tBodyAccJerk-mean()-Z8","88","WALKING","2",11,21,-0.005353463880952,0.173213493411138
"tBodyGyro-mean()-X1","89","LAYING","1",12,27,-0.007082985118519,0.092628250810804
"tBodyGyro-mean()-X2","90","SITTING","1",12,24,-0.044743043504167,0.04771418566433
"tBodyGyro-mean()-X3","91","STANDING","1",12,27,-0.025076573514815,0.008039728052198
"tBodyGyro-mean()-X4","92","WALKING","1",12,22,-0.022729471704545,0.137895917395343
"tBodyGyro-mean()-X5","93","LAYING","2",12,24,-0.015885025091667,0.045812681006717
"tBodyGyro-mean()-X6","94","SITTING","2",12,24,-0.043229787,0.050390683110773
"tBodyGyro-mean()-X7","95","STANDING","2",12,31,-0.025208562706774,0.030957437756811
"tBodyGyro-mean()-X8","96","WALKING","2",12,21,-0.061510099689048,0.104539169522976
"tBodyGyro-mean()-Y1","97","LAYING","1",13,27,-0.0710907082,0.058249182977569
"tBodyGyro-mean()-Y2","98","SITTING","1",13,24,-0.099156198791667,0.066619486363573
"tBodyGyro-mean()-Y3","99","STANDING","1",13,27,-0.062233440407407,0.049766604662308
"tBodyGyro-mean()-Y4","100","WALKING","1",13,22,-0.0809927075,0.144114161086883
"tBodyGyro-mean()-Y5","101","LAYING","2",13,24,-0.120073685416667,0.09852407965623
"tBodyGyro-mean()-Y6","102","SITTING","2",13,24,-0.064317854391667,0.030432918381678
"tBodyGyro-mean()-Y7","103","STANDING","2",13,31,-0.081919854064516,0.034376979193293
"tBodyGyro-mean()-Y8","104","WALKING","2",13,21,-0.039327759809524,0.117002485525365
"tBodyGyro-mean()-Z1","105","LAYING","1",14,27,0.151891333481481,0.179052880255218
"tBodyGyro-mean()-Z2","106","SITTING","1",14,24,0.059675591208333,0.174370142380128
"tBodyGyro-mean()-Z3","107","STANDING","1",14,27,0.074719400296296,0.05548383478345
"tBodyGyro-mean()-Z4","108","WALKING","1",14,22,0.087030435586364,0.068423227431868
"tBodyGyro-mean()-Z5","109","LAYING","2",14,24,0.128037849,0.130375977312456
"tBodyGyro-mean()-Z6","110","SITTING","2",14,24,0.061430153875,0.118498727408911
"tBodyGyro-mean()-Z7","111","STANDING","2",14,31,0.088557247632258,0.039809173339162
"tBodyGyro-mean()-Z8","112","WALKING","2",14,21,0.090519837190476,0.03441998462091
"tBodyGyroJerk-mean()-X1","113","LAYING","1",15,27,-0.104095939444444,0.201805602128342
"tBodyGyroJerk-mean()-X2","114","SITTING","1",15,24,-0.094648225541667,0.026712032186324
"tBodyGyroJerk-mean()-X3","115","STANDING","1",15,27,-0.098441575703704,0.0053831753522
"tBodyGyroJerk-mean()-X4","116","WALKING","1",15,22,-0.094703908909091,0.151325627380384
"tBodyGyroJerk-mean()-X5","117","LAYING","2",15,24,-0.103644728083333,0.015529546813438
"tBodyGyroJerk-mean()-X6","118","SITTING","2",15,24,-0.092846804541667,0.012567157071344
"tBodyGyroJerk-mean()-X7","119","STANDING","2",15,31,-0.107143546,0.027561251104324
"tBodyGyroJerk-mean()-X8","120","WALKING","2",15,21,-0.066140484238095,0.107054562328411
"tBodyGyroJerk-mean()-Y1","121","LAYING","1",16,27,-0.040814170388889,0.038038737613567
"tBodyGyroJerk-mean()-Y2","122","SITTING","1",16,24,-0.039431371083333,0.014064402067249
"tBodyGyroJerk-mean()-Y3","123","STANDING","1",16,27,-0.043685015259259,0.009234206530635
"tBodyGyroJerk-mean()-Y4","124","WALKING","1",16,22,-0.030223969181818,0.282263436990737
"tBodyGyroJerk-mean()-Y5","125","LAYING","2",16,24,-0.034593648133333,0.009906541277662
"tBodyGyroJerk-mean()-Y6","126","SITTING","2",16,24,-0.040361726041667,0.007586565334486
"tBodyGyroJerk-mean()-Y7","127","STANDING","2",16,31,-0.042780582032258,0.025839054463113
"tBodyGyroJerk-mean()-Y8","128","WALKING","2",16,21,-0.065003594714286,0.120456375905554
"tBodyGyroJerk-mean()-Z1","129","LAYING","1",17,27,-0.069059468555556,0.055223176727716
"tBodyGyroJerk-mean()-Z2","130","SITTING","1",17,24,-0.042242473216667,0.046027785478932
"tBodyGyroJerk-mean()-Z3","131","STANDING","1",17,27,-0.050497166288889,0.014803591862129
"tBodyGyroJerk-mean()-Z4","132","WALKING","1",17,22,-0.032379951363636,0.211627483245132
"tBodyGyroJerk-mean()-Z5","133","LAYING","2",17,24,-0.068641524416667,0.033387390111149
"tBodyGyroJerk-mean()-Z6","134","SITTING","2",17,24,-0.048298852208333,0.032221194562425
"tBodyGyroJerk-mean()-Z7","135","STANDING","2",17,31,-0.055781461419355,0.013102033447843
"tBodyGyroJerk-mean()-Z8","136","WALKING","2",17,21,-0.05175402907619,0.135738334901897
"tBodyAccMag-mean()1","137","LAYING","1",18,27,-0.799777119740741,0.334662897922472
"tBodyAccMag-mean()2","138","SITTING","1",18,24,-0.920811364583333,0.145667991450701
"tBodyAccMag-mean()3","139","STANDING","1",18,27,-0.987113304444444,0.018634307814189
"tBodyAccMag-mean()4","140","WALKING","1",18,22,-0.097563595495455,0.056558182326829
"tBodyAccMag-mean()5","141","LAYING","2",18,24,-0.974251708333333,0.029925320536127
"tBodyAccMag-mean()6","142","SITTING","2",18,24,-0.97709485,0.026064942988865
"tBodyAccMag-mean()7","143","STANDING","2",18,31,-0.964127341612903,0.034614396000067
"tBodyAccMag-mean()8","144","WALKING","2",18,21,-0.307884702380952,0.034830718449189
"tGravityAccMag-mean()1","145","LAYING","1",19,27,-0.799777119740741,0.334662897922472
"tGravityAccMag-mean()2","146","SITTING","1",19,24,-0.920811364583333,0.145667991450701
"tGravityAccMag-mean()3","147","STANDING","1",19,27,-0.987113304444444,0.018634307814189
"tGravityAccMag-mean()4","148","WALKING","1",19,22,-0.097563595495455,0.056558182326829
"tGravityAccMag-mean()5","149","LAYING","2",19,24,-0.974251708333333,0.029925320536127
"tGravityAccMag-mean()6","150","SITTING","2",19,24,-0.97709485,0.026064942988865
"tGravityAccMag-mean()7","151","STANDING","2",19,31,-0.964127341612903,0.034614396000067
"tGravityAccMag-mean()8","152","WALKING","2",19,21,-0.307884702380952,0.034830718449189
"tBodyAccJerkMag-mean()1","153","LAYING","1",20,27,-0.937574675555556,0.110599572381797
"tBodyAccJerkMag-mean()2","154","SITTING","1",20,24,-0.9824165475,0.031272535741951
"tBodyAccJerkMag-mean()3","155","STANDING","1",20,27,-0.992762834444444,0.002962147914945
"tBodyAccJerkMag-mean()4","156","WALKING","1",20,22,-0.141651257045455,0.064301409729257
"tBodyAccJerkMag-mean()5","157","LAYING","2",20,24,-0.989415747916667,0.009194919667609
"tBodyAccJerkMag-mean()6","158","SITTING","2",20,24,-0.988414304583333,0.008450247580217
"tBodyAccJerkMag-mean()7","159","STANDING","2",20,31,-0.976798472903226,0.02432875997972
"tBodyAccJerkMag-mean()8","160","WALKING","2",20,21,-0.321893061428571,0.049565670950773
"tBodyGyroMag-mean()1","161","LAYING","1",21,27,-0.845659524074074,0.183298082077044
"tBodyGyroMag-mean()2","162","SITTING","1",21,24,-0.914700315416667,0.121913623552248
"tBodyGyroMag-mean()3","163","STANDING","1",21,27,-0.980705440740741,0.031147931876975
"tBodyGyroMag-mean()4","164","WALKING","1",21,22,-0.121062635818182,0.053465864076987
"tBodyGyroMag-mean()5","165","LAYING","2",21,24,-0.9526916075,0.082608929030258
"tBodyGyroMag-mean()6","166","SITTING","2",21,24,-0.96037256625,0.071028438209434
"tBodyGyroMag-mean()7","167","STANDING","2",21,31,-0.957676975483871,0.044710528843345
"tBodyGyroMag-mean()8","168","WALKING","2",21,21,-0.464770283333333,0.036634455153209
"tBodyGyroJerkMag-mean()1","169","LAYING","1",22,27,-0.953771142592592,0.083531091048417
"tBodyGyroJerkMag-mean()2","170","SITTING","1",22,24,-0.987404355833333,0.027070629994124
"tBodyGyroJerkMag-mean()3","171","STANDING","1",22,27,-0.996042138518518,0.002463006386488
"tBodyGyroJerkMag-mean()4","172","WALKING","1",22,22,-0.317624517272727,0.069472112058301
"tBodyGyroJerkMag-mean()5","173","LAYING","2",22,24,-0.992201236666667,0.008953091482081
"tBodyGyroJerkMag-mean()6","174","SITTING","2",22,24,-0.991969308333333,0.005660764246951
"tBodyGyroJerkMag-mean()7","175","STANDING","2",22,31,-0.980363082903226,0.02512588886045
"tBodyGyroJerkMag-mean()8","176","WALKING","2",22,21,-0.630587025714286,0.028926368746465
"fBodyAcc-mean()-X1","177","LAYING","1",23,27,-0.914774365185185,0.127104750919125
"fBodyAcc-mean()-X2","178","SITTING","1",23,24,-0.967566179166667,0.058084261962734
"fBodyAcc-mean()-X3","179","STANDING","1",23,27,-0.996377095185185,0.002164752401788
"fBodyAcc-mean()-X4","180","WALKING","1",23,22,-0.192744307,0.05558557877192
"fBodyAcc-mean()-X5","181","LAYING","2",23,24,-0.975942804166667,0.030616167534398
"fBodyAcc-mean()-X6","182","SITTING","2",23,24,-0.99153007625,0.009889367224529
"fBodyAcc-mean()-X7","183","STANDING","2",23,31,-0.980390138709677,0.023045369441564
"fBodyAcc-mean()-X8","184","WALKING","2",23,21,-0.368912543809524,0.046013004219029
"fBodyAcc-mean()-Y1","185","LAYING","1",24,27,-0.792592732185185,0.33989012683148
"fBodyAcc-mean()-Y2","186","SITTING","1",24,24,-0.920545185416667,0.132588802670355
"fBodyAcc-mean()-Y3","187","STANDING","1",24,27,-0.979004954074074,0.020477234694877
"fBodyAcc-mean()-Y4","188","WALKING","1",24,22,0.053425798890909,0.091597408010959
"fBodyAcc-mean()-Y5","189","LAYING","2",24,24,-0.983590131666667,0.017584733000275
"fBodyAcc-mean()-Y6","190","SITTING","2",24,24,-0.966916930833333,0.031911899711196
"fBodyAcc-mean()-Y7","191","STANDING","2",24,31,-0.954008178709678,0.039810272734545
"fBodyAcc-mean()-Y8","192","WALKING","2",24,21,-0.07917905347619,0.07676790957354
"fBodyAcc-mean()-Z1","193","LAYING","1",25,27,-0.866342998518518,0.216427163125397
"fBodyAcc-mean()-Z2","194","SITTING","1",25,24,-0.938268183333333,0.119207502718708
"fBodyAcc-mean()-Z3","195","STANDING","1",25,27,-0.986708549259259,0.012665829798149
"fBodyAcc-mean()-Z4","196","WALKING","1",25,22,-0.282944198181818,0.050063764263666
"fBodyAcc-mean()-Z5","197","LAYING","2",25,24,-0.985744433333333,0.014764886000509
"fBodyAcc-mean()-Z6","198","SITTING","2",25,24,-0.97881943625,0.026924918375333
"fBodyAcc-mean()-Z7","199","STANDING","2",25,31,-0.960821955806452,0.043908474834876
"fBodyAcc-mean()-Z8","200","WALKING","2",25,21,-0.453141427142857,0.04259306343052
"fBodyAcc-meanFreq()-X1","201","LAYING","1",26,27,-0.131319633766667,0.296435651272732
"fBodyAcc-meanFreq()-X2","202","SITTING","1",26,24,-0.110301890791667,0.23887570700534
"fBodyAcc-meanFreq()-X3","203","STANDING","1",26,27,0.120911981370741,0.131874254517646
"fBodyAcc-meanFreq()-X4","204","WALKING","1",26,22,-0.209973364590909,0.109338985366171
"fBodyAcc-meanFreq()-X5","205","LAYING","2",26,24,-0.251074817666667,0.334654240224057
"fBodyAcc-meanFreq()-X6","206","SITTING","2",26,24,0.106217287360833,0.157450323266611
"fBodyAcc-meanFreq()-X7","207","STANDING","2",26,31,0.119234994545161,0.212516963235048
"fBodyAcc-meanFreq()-X8","208","WALKING","2",26,21,-0.217668806619048,0.083327061625631
"fBodyAcc-meanFreq()-Y1","209","LAYING","1",27,27,0.057573662788889,0.346947229000167
"fBodyAcc-meanFreq()-Y2","210","SITTING","1",27,24,0.040659552125,0.233237383396682
"fBodyAcc-meanFreq()-Y3","211","STANDING","1",27,27,0.161211104925926,0.186889593679873
"fBodyAcc-meanFreq()-Y4","212","WALKING","1",27,22,0.095142391540909,0.110111687143754
"fBodyAcc-meanFreq()-Y5","213","LAYING","2",27,24,0.220172991541667,0.204586796131048
"fBodyAcc-meanFreq()-Y6","214","SITTING","2",27,24,0.079633731958333,0.207654609036826
"fBodyAcc-meanFreq()-Y7","215","STANDING","2",27,31,0.080588951412581,0.154602331341563
"fBodyAcc-meanFreq()-Y8","216","WALKING","2",27,21,0.150647938809524,0.105699806548633
"fBodyAcc-meanFreq()-Z1","217","LAYING","1",28,27,0.190172108296296,0.394138110736494
"fBodyAcc-meanFreq()-Z2","218","SITTING","1",28,24,0.088127998208333,0.327591017733861
"fBodyAcc-meanFreq()-Z3","219","STANDING","1",28,27,0.317320246962963,0.226071798694002
"fBodyAcc-meanFreq()-Z4","220","WALKING","1",28,22,0.025166366036364,0.165135961727402
"fBodyAcc-meanFreq()-Z5","221","LAYING","2",28,24,0.344268315375,0.190873450154085
"fBodyAcc-meanFreq()-Z6","222","SITTING","2",28,24,0.082167139541667,0.233684413357494
"fBodyAcc-meanFreq()-Z7","223","STANDING","2",28,31,0.083087702883871,0.250152900877004
"fBodyAcc-meanFreq()-Z8","224","WALKING","2",28,21,0.0147441668,0.134713223972375
"fBodyAccJerk-mean()-X1","225","LAYING","1",29,27,-0.942114120740741,0.095928959668291
"fBodyAccJerk-mean()-X2","226","SITTING","1",29,24,-0.97977282625,0.035797406543033
"fBodyAccJerk-mean()-X3","227","STANDING","1",29,27,-0.995199196666667,0.00237180567966
"fBodyAccJerk-mean()-X4","228","WALKING","1",29,22,-0.192541705223182,0.070781194088222
"fBodyAccJerk-mean()-X5","229","LAYING","2",29,24,-0.987614457083333,0.01494710134025
"fBodyAccJerk-mean()-X6","230","SITTING","2",29,24,-0.989478558333333,0.009847509609672
"fBodyAccJerk-mean()-X7","231","STANDING","2",29,31,-0.975895863225806,0.030500553907955
"fBodyAccJerk-mean()-X8","232","WALKING","2",29,21,-0.345809771904762,0.053185853142414
"fBodyAccJerk-mean()-Y1","233","LAYING","1",30,27,-0.885543131481482,0.212182817911889
"fBodyAccJerk-mean()-Y2","234","SITTING","1",30,24,-0.97514518625,0.040157384425198
"fBodyAccJerk-mean()-Y3","235","STANDING","1",30,27,-0.986482735555556,0.00587142675363
"fBodyAccJerk-mean()-Y4","236","WALKING","1",30,22,-0.075562736831818,0.081740397998371
"fBodyAccJerk-mean()-Y5","237","LAYING","2",30,24,-0.986432678333333,0.011834592961638
"fBodyAccJerk-mean()-Y6","238","SITTING","2",30,24,-0.980875435416667,0.012331607989967
"fBodyAccJerk-mean()-Y7","239","STANDING","2",30,31,-0.966513841290323,0.031768454434453
"fBodyAccJerk-mean()-Y8","240","WALKING","2",30,21,-0.15125063052381,0.105043035775903
"fBodyAccJerk-mean()-Z1","241","LAYING","1",31,27,-0.93327743,0.116746244626489
"fBodyAccJerk-mean()-Z2","242","SITTING","1",31,24,-0.98291496875,0.027917692303941
"fBodyAccJerk-mean()-Z3","243","STANDING","1",31,27,-0.990911531111111,0.003065303495318
"fBodyAccJerk-mean()-Z4","244","WALKING","1",31,22,-0.462912842727273,0.044287791363297
"fBodyAccJerk-mean()-Z5","245","LAYING","2",31,24,-0.9882832,0.00696445841185
"fBodyAccJerk-mean()-Z6","246","SITTING","2",31,24,-0.987144634583333,0.007318143602284
"fBodyAccJerk-mean()-Z7","247","STANDING","2",31,31,-0.97676721483871,0.021095978349493
"fBodyAccJerk-mean()-Z8","248","WALKING","2",31,21,-0.571100367142857,0.039662015674311
"fBodyAccJerk-meanFreq()-X1","249","LAYING","1",32,27,0.093162880444444,0.189722334590193
"fBodyAccJerk-meanFreq()-X2","250","SITTING","1",32,24,0.226562103654167,0.152438892341017
"fBodyAccJerk-meanFreq()-X3","251","STANDING","1",32,27,0.323948838259259,0.156554471244392
"fBodyAccJerk-meanFreq()-X4","252","WALKING","1",32,22,-0.275414246090909,0.086297014364595
"fBodyAccJerk-meanFreq()-X5","253","LAYING","2",32,24,0.166233527375,0.157415008847748
"fBodyAccJerk-meanFreq()-X6","254","SITTING","2",32,24,0.315145656245833,0.136925702231854
"fBodyAccJerk-meanFreq()-X7","255","STANDING","2",32,31,0.357811185322581,0.156147248793876
"fBodyAccJerk-meanFreq()-X8","256","WALKING","2",32,21,-0.090019359285714,0.107360258732074
"fBodyAccJerk-meanFreq()-Y1","257","LAYING","1",33,27,-0.043163324933333,0.337432099063408
"fBodyAccJerk-meanFreq()-Y2","258","SITTING","1",33,24,-0.038378324204167,0.293002822954979
"fBodyAccJerk-meanFreq()-Y3","259","STANDING","1",33,27,0.051479763525926,0.142600837309595
"fBodyAccJerk-meanFreq()-Y4","260","WALKING","1",33,22,-0.398894286363636,0.111482111477002
"fBodyAccJerk-meanFreq()-Y5","261","LAYING","2",33,24,0.148521963333333,0.098995804249526
"fBodyAccJerk-meanFreq()-Y6","262","SITTING","2",33,24,-0.003782650990833,0.166520143877382
"fBodyAccJerk-meanFreq()-Y7","263","STANDING","2",33,31,-0.049986440280645,0.170899455124891
"fBodyAccJerk-meanFreq()-Y8","264","WALKING","2",33,21,-0.29646834847619,0.125886775948929
"fBodyAccJerk-meanFreq()-Z1","265","LAYING","1",34,27,0.071454027407407,0.29195643146686
"fBodyAccJerk-meanFreq()-Z2","266","SITTING","1",34,24,-0.0160253845,0.356413086761006
"fBodyAccJerk-meanFreq()-Z3","267","STANDING","1",34,27,0.180457987296296,0.123040332847108
"fBodyAccJerk-meanFreq()-Z4","268","WALKING","1",34,22,-0.174528179136364,0.132720212488002
"fBodyAccJerk-meanFreq()-Z5","269","LAYING","2",34,24,0.144727122625,0.106580437709241
"fBodyAccJerk-meanFreq()-Z6","270","SITTING","2",34,24,0.129468329025,0.115815771116064
"fBodyAccJerk-meanFreq()-Z7","271","STANDING","2",34,31,-0.005180676806452,0.179524845488566
"fBodyAccJerk-meanFreq()-Z8","272","WALKING","2",34,21,-0.267961919571429,0.106912194681471
"fBodyGyro-mean()-X1","273","LAYING","1",35,27,-0.810294110751852,0.334223011166865
"fBodyGyro-mean()-X2","274","SITTING","1",35,24,-0.96524217625,0.068092248067166
"fBodyGyro-mean()-X3","275","STANDING","1",35,27,-0.988888366296296,0.006890448806245
"fBodyGyro-mean()-X4","276","WALKING","1",35,22,-0.322086626818182,0.076966469985573
"fBodyGyro-mean()-X5","277","LAYING","2",35,24,-0.98421999,0.026109356283824
"fBodyGyro-mean()-X6","278","SITTING","2",35,24,-0.98393020375,0.018526989507028
"fBodyGyro-mean()-X7","279","STANDING","2",35,31,-0.963369947096774,0.043896320765039
"fBodyGyro-mean()-X8","280","WALKING","2",35,21,-0.488764693333333,0.038776944419195
"fBodyGyro-mean()-Y1","281","LAYING","1",36,27,-0.936830083703704,0.099183829590911
"fBodyGyro-mean()-Y2","282","SITTING","1",36,24,-0.961918987916667,0.084694742206293
"fBodyGyro-mean()-Y3","283","STANDING","1",36,27,-0.991606422962963,0.009890944521594
"fBodyGyro-mean()-Y4","284","WALKING","1",36,22,-0.100842399513636,0.097301808552726
"fBodyGyro-mean()-Y5","285","LAYING","2",36,24,-0.9844616225,0.017105442919337
"fBodyGyro-mean()-Y6","286","SITTING","2",36,24,-0.98479882875,0.010675136528329
"fBodyGyro-mean()-Y7","287","STANDING","2",36,31,-0.96597090483871,0.046312308024766
"fBodyGyro-mean()-Y8","288","WALKING","2",36,21,-0.592002432857143,0.026337551978131
"fBodyGyro-mean()-Z1","289","LAYING","1",37,27,-0.894916852962963,0.144660993928388
"fBodyGyro-mean()-Z2","290","SITTING","1",37,24,-0.93267732375,0.099983973515268
"fBodyGyro-mean()-Z3","291","STANDING","1",37,27,-0.984363237037037,0.018075990351437
"fBodyGyro-mean()-Z4","292","WALKING","1",37,22,-0.232800075,0.064907047100867
"fBodyGyro-mean()-Z5","293","LAYING","2",37,24,-0.963499994583333,0.048676259672014
"fBodyGyro-mean()-Z6","294","SITTING","2",37,24,-0.96246255125,0.0365770367864
"fBodyGyro-mean()-Z7","295","STANDING","2",37,31,-0.950436436129032,0.076153925125733
"fBodyGyro-mean()-Z8","296","WALKING","2",37,21,-0.44155685952381,0.043269309395318
"fBodyGyro-meanFreq()-X1","297","LAYING","1",38,27,0.00588049922963,0.347185170365261
"fBodyGyro-meanFreq()-X2","298","SITTING","1",38,24,0.130513014695833,0.317106399351173
"fBodyGyro-meanFreq()-X3","299","STANDING","1",38,27,-0.047476755037037,0.183677342481056
"fBodyGyro-meanFreq()-X4","300","WALKING","1",38,22,-0.037164991409091,0.143671359266916
"fBodyGyro-meanFreq()-X5","301","LAYING","2",38,24,0.118184857058333,0.249425852562538
"fBodyGyro-meanFreq()-X6","302","SITTING","2",38,24,0.126437336875,0.14306049123516
